# KIC   dateobs      eclipse?    filter    filename[-15:]
#
3955867 2457114.91059 Pri B 150402.101.fits
3955867 2457114.9139 Pri V 150402.102.fits
3955867 2457114.91582 Pri R 150402.103.fits
3955867 2457114.9169 Pri I 150402.104.fits
3955867 2457114.91824 Pri B 150402.105.fits
3955867 2457114.92159 Pri V 150402.106.fits
3955867 2457114.92346 Pri R 150402.107.fits
3955867 2457114.92457 Pri I 150402.108.fits
3955867 2457114.92587 Pri B 150402.109.fits
3955867 2457114.92913 Pri V 150402.110.fits
3955867 2457114.93105 Pri R 150402.111.fits
3955867 2457114.93213 Pri I 150402.112.fits
3955867 2456902.68801 No  B 140902.088.fits
3955867 2456902.69135 No  V 140902.089.fits
3955867 2456902.69326 No  R 140902.090.fits
3955867 2456902.69438 No  I 140902.091.fits
3955867 2456902.69574 No  B 140902.092.fits
3955867 2456902.69907 No  V 140902.093.fits
3955867 2456902.70107 No  R 140902.094.fits
3955867 2456902.70231 No  I 140902.095.fits
3955867 2456902.70367 No  B 140902.096.fits
3955867 2456902.70706 No  V 140902.097.fits
3955867 2456902.70897 No  R 140902.098.fits
3955867 2456902.71019 No  I 140902.099.fits
3955867 2456902.71159 No  B 140902.100.fits
3955867 2456902.71502 No  V 140902.101.fits
3955867 2456902.71701 No  R 140902.102.fits
3955867 2456902.71822 No  I 140902.103.fits
3955867 2456902.71956 No  B 140902.104.fits
3955867 2456902.72299 No  V 140902.105.fits
3955867 2456902.72494 No  R 140902.106.fits
3955867 2456902.72607 No  I 140902.107.fits
3955867 2456761.83992 Sec B 140414.078.fits
3955867 2456761.84038 Sec B 140414.079.fits
3955867 2456761.8408 Sec B 140414.080.fits
3955867 2456761.84145 Sec V 140414.081.fits
3955867 2456761.84188 Sec V 140414.082.fits
3955867 2456761.84231 Sec V 140414.083.fits
3955867 2456761.84297 Sec R 140414.084.fits
3955867 2456761.84335 Sec R 140414.085.fits
3955867 2456761.84376 Sec R 140414.086.fits
3955867 2456761.84435 Sec I 140414.087.fits
3955867 2456761.84478 Sec I 140414.088.fits
3955867 2456761.84515 Sec I 140414.089.fits
3955867 2456772.97658 No  B 140425.1058.fits
3955867 2456772.97857 No  V 140425.1059.fits
3955867 2456772.98051 No  R 140425.1060.fits
3955867 2456772.98181 No  I 140425.1061.fits
3955867 2456777.80291 Pri B 140430.806.fits
3955867 2456777.80627 Pri V 140430.807.fits
3955867 2456777.80822 Pri R 140430.808.fits
3955867 2456777.80937 Pri I 140430.809.fits
3955867 2456777.81076 Pri B 140430.810.fits
3955867 2456777.81406 Pri V 140430.811.fits
3955867 2456777.81604 Pri R 140430.812.fits
3955867 2456777.81721 Pri I 140430.813.fits
3955867 2456777.81866 Pri B 140430.814.fits
3955867 2456777.82203 Pri V 140430.815.fits
3955867 2456777.82402 Pri R 140430.816.fits
3955867 2456777.82516 Pri I 140430.817.fits
3955867 2456777.82671 Pri B 140430.818.fits
3955867 2456777.83005 Pri V 140430.819.fits
3955867 2456777.83207 Pri R 140430.820.fits
3955867 2456777.83317 Pri I 140430.821.fits
3955867 2456777.83455 Pri B 140430.822.fits
3955867 2456777.83788 Pri V 140430.823.fits
3955867 2456777.83997 Pri R 140430.824.fits
3955867 2456777.84119 Pri I 140430.825.fits
3955867 2456777.84251 Pri B 140430.826.fits
3955867 2456777.84582 Pri V 140430.827.fits
3955867 2456777.84781 Pri R 140430.828.fits
3955867 2456777.84899 Pri I 140430.829.fits
3955867 2456777.85062 Pri B 140430.830.fits
3955867 2456777.85398 Pri V 140430.831.fits
3955867 2456777.85597 Pri R 140430.832.fits
3955867 2456777.85712 Pri I 140430.833.fits
3955867 2456777.85842 Pri B 140430.834.fits
3955867 2456777.8617 Pri V 140430.835.fits
3955867 2456777.86368 Pri R 140430.836.fits
3955867 2456777.86476 Pri I 140430.837.fits
3955867 2456777.86615 Pri B 140430.838.fits
3955867 2456777.86955 Pri V 140430.839.fits
3955867 2456777.87155 Pri R 140430.840.fits
